system:time_start,LST_Day_1km
"Jul 24, 2009",24.419
"Jul 25, 2009",22.109
"Jul 26, 2009",14.436
"Jul 27, 2009",22.26
"Jul 28, 2009",
"Jul 29, 2009",
"Jul 30, 2009",
"Jul 31, 2009",24.45
"Aug 1, 2009",23.629
"Aug 2, 2009",26.212
"Aug 3, 2009",19.465
"Aug 4, 2009",
"Aug 5, 2009",
"Aug 6, 2009",
"Aug 7, 2009",
"Aug 8, 2009",
"Aug 9, 2009",
"Aug 10, 2009",26.044
"Aug 11, 2009",
"Aug 12, 2009",19.105
"Aug 13, 2009",
"Aug 14, 2009",
"Aug 15, 2009",
"Aug 16, 2009",
"Aug 17, 2009",22.022
"Aug 18, 2009",27.786
"Aug 19, 2009",19.814
"Aug 20, 2009",
"Aug 21, 2009",
"Aug 22, 2009",
"Aug 23, 2009",
"Aug 24, 2009",
"Aug 25, 2009",
"Aug 26, 2009",
"Aug 27, 2009",27.146
"Aug 28, 2009",30.629
"Aug 29, 2009",
"Aug 30, 2009",20.735
"Aug 31, 2009",21.517
"Sep 1, 2009",27.741
"Sep 2, 2009",24.148
"Sep 3, 2009",
"Sep 4, 2009",
"Sep 5, 2009",
"Sep 6, 2009",29.951
"Sep 7, 2009",
"Sep 8, 2009",
"Sep 9, 2009",
"Sep 10, 2009",
"Sep 11, 2009",22.139
"Sep 12, 2009",
"Sep 13, 2009",16.03
"Sep 14, 2009",
"Sep 15, 2009",
"Sep 16, 2009",
"Sep 17, 2009",
"Sep 18, 2009",22.751
"Sep 19, 2009",27.369
"Sep 20, 2009",21.88
"Sep 21, 2009",
"Sep 22, 2009",
"Sep 23, 2009",
"Sep 24, 2009",30.745
"Sep 25, 2009",
"Sep 26, 2009",
"Sep 27, 2009",
"Sep 28, 2009",
"Sep 29, 2009",29.01
"Sep 30, 2009",
"Oct 1, 2009",
"Oct 2, 2009",
"Oct 3, 2009",
"Oct 4, 2009",
"Oct 5, 2009",
"Oct 6, 2009",31.054
"Oct 7, 2009",
"Oct 8, 2009",25.59
"Oct 9, 2009",
"Oct 10, 2009",28.018
"Oct 11, 2009",
"Oct 12, 2009",
"Oct 13, 2009",
"Oct 14, 2009",
"Oct 15, 2009",
"Oct 16, 2009",
"Oct 17, 2009",28.878
"Oct 18, 2009",16.724
"Oct 19, 2009",29.002
"Oct 20, 2009",
"Oct 21, 2009",29.069
"Oct 22, 2009",22.472
"Oct 23, 2009",24.038
"Oct 24, 2009",
"Oct 25, 2009",
"Oct 26, 2009",28.027
"Oct 27, 2009",
"Oct 28, 2009",27.487
"Oct 29, 2009",24.724
"Oct 30, 2009",
"Oct 31, 2009",
"Nov 1, 2009",
"Nov 2, 2009",25.712
"Nov 3, 2009",
"Nov 4, 2009",27.15
"Nov 5, 2009",19.929
"Nov 6, 2009",
"Nov 7, 2009",21.716
"Nov 8, 2009",
"Nov 9, 2009",18.559
"Nov 10, 2009",
"Nov 11, 2009",27.285
"Nov 12, 2009",21.51
"Nov 13, 2009",21.988
"Nov 14, 2009",
"Nov 15, 2009",
"Nov 16, 2009",23.823
"Nov 17, 2009",
"Nov 18, 2009",22.76
"Nov 19, 2009",16.346
"Nov 20, 2009",
"Nov 21, 2009",
"Nov 22, 2009",
"Nov 23, 2009",
"Nov 24, 2009",
"Nov 25, 2009",26.321
"Nov 26, 2009",
"Nov 27, 2009",26.471
"Nov 28, 2009",
"Nov 29, 2009",24.895
"Nov 30, 2009",24.534
"Dec 1, 2009",21.728
