,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
190,409,"['2010', 'w35']",2010,201035,2010-08-28,8,25.83664285714286,67.70464446562721,67.49570609429033,67.71276006950151
191,347,"['2010', 'w36']",2010,201036,2010-09-04,9,23.43607142857142,76.80796908857847,72.83521635083186,78.79936455641318
192,263,"['2010', 'w37']",2010,201037,2010-09-11,9,23.3895,70.07445696570493,71.24931747786664,69.43276727462035
193,290,"['2010', 'w38']",2010,201038,2010-09-18,9,24.956857142857142,82.73066256352037,88.95854753733835,79.48524273732386
194,209,"['2010', 'w39']",2010,201039,2010-09-25,9,26.896428571428572,88.78273422719553,88.62332109598722,88.60406984867306
195,164,"['2010', 'w40']",2010,201040,2010-10-02,10,27.730571428571434,89.06243475810379,90.55631431082021,88.27038351570793
196,166,"['2010', 'w41']",2010,201041,2010-10-09,10,26.361857142857147,70.94244013356771,74.3929521035457,69.12521350427505
197,127,"['2010', 'w42']",2010,201042,2010-10-16,10,25.3945,24.92043845893006,25.34694863701788,24.75911906443605
198,121,"['2010', 'w43']",2010,201043,2010-10-23,10,25.381999999999998,37.44174724436981,38.72541570939879,36.90550592678403
199,80,"['2010', 'w44']",2010,201044,2010-10-30,10,26.17421428571429,76.50659587469117,74.93867471575162,77.21336513287432
200,89,"['2010', 'w45']",2010,201045,2010-11-06,11,24.337,103.5186951922527,110.3374341973936,100.1508070243608
201,67,"['2010', 'w46']",2010,201046,2010-11-13,11,23.826071428571428,65.21330097530435,70.27001193871244,62.84877543033809
202,42,"['2010', 'w47']",2010,201047,2010-11-20,11,23.821428571428577,85.06728789946433,87.39409336790371,84.10513648658717
203,44,"['2010', 'w48']",2010,201048,2010-11-27,11,24.732285714285716,30.36322556126366,31.62925499165116,29.77172494853309
204,46,"['2010', 'w49']",2010,201049,2010-12-04,12,24.281785714285718,119.4819942419844,122.991359443941,117.9709416634446
205,47,"['2010', 'w50']",2010,201050,2010-12-11,12,22.787285714285712,0.04338566291505449,0.02654280363073672,0.05040697570240826
206,33,"['2010', 'w51']",2010,201051,2010-12-18,12,22.996,78.61182998421067,82.64268986522288,76.85088532211584
207,27,"['2010', 'w52']",2010,201052,2010-12-25,12,21.175357142857145,13.30895990641601,13.41991390928554,13.17767244435231
208,38,"['2011', 'w01']",2011,201101,2011-01-01,1,23.541428571428565,17.42993866576474,19.04817109868146,16.68295580531479
209,29,"['2011', 'w02']",2011,201102,2011-01-08,1,22.479357142857147,33.17472407912725,40.93984941768186,29.73608162993685
210,29,"['2011', 'w03']",2011,201103,2011-01-15,1,21.645142857142858,25.81092844955242,22.95105258370367,27.04537121177813
211,26,"['2011', 'w04']",2011,201104,2011-01-22,1,22.616,6.630987687571773,11.39455020508328,4.363782307642316
212,19,"['2011', 'w05']",2011,201105,2011-01-29,1,23.423142857142853,6.017542484811191,1.061788794844623,8.132509315560718
213,14,"['2011', 'w06']",2011,201106,2011-02-05,2,23.243928571428572,0.00418215895934114,0.002558592321792087,0.00485897807899965
214,13,"['2011', 'w07']",2011,201107,2011-02-12,2,20.48057142857143,51.93580854338177,59.3948920475688,48.47373509035198
215,14,"['2011', 'w08']",2011,201108,2011-02-19,2,27.32442857142857,67.95822219530841,75.19037344674557,64.35018884720058
216,19,"['2011', 'w09']",2011,201109,2011-02-26,2,24.266214285714284,3.917529886008362,4.160965092285821,3.779147983691014
217,14,"['2011', 'w10']",2011,201110,2011-03-05,3,19.45392857142857,36.64612583269142,36.72549140418785,36.68413777668542
218,9,"['2011', 'w11']",2011,201111,2011-03-12,3,23.812000000000005,48.1959337865862,50.47506682031973,47.0621747279386
219,14,"['2011', 'w12']",2011,201112,2011-03-19,3,23.292,11.84574036242762,12.57292700136342,11.47198477053861
220,7,"['2011', 'w13']",2011,201113,2011-03-26,3,28.010714285714286,91.62412252594832,93.88337001846608,90.56215108075274
221,15,"['2011', 'w14']",2011,201114,2011-04-02,4,27.113142857142854,25.39282386836114,22.33206036528527,26.89568309811277
222,18,"['2011', 'w15']",2011,201115,2011-04-09,4,25.904,94.30838267199239,97.48531391263583,92.69092365404882
223,16,"['2011', 'w16']",2011,201116,2011-04-16,4,28.02135714285714,108.6490443157984,109.4475894467266,108.4247048369241
224,16,"['2011', 'w17']",2011,201117,2011-04-23,4,29.480500000000006,71.12227028469006,69.23549317023605,72.3399043638772
225,9,"['2011', 'w18']",2011,201118,2011-04-30,4,21.224999999999994,111.6895935148358,118.854262644542,107.9496291394627
226,12,"['2011', 'w19']",2011,201119,2011-05-07,5,24.76464285714286,24.77242288266415,24.3904058366582,24.92789380692561
227,15,"['2011', 'w20']",2011,201120,2011-05-14,5,26.022571428571435,83.11909801825946,82.97403777855031,83.02922832112795
228,22,"['2011', 'w21']",2011,201121,2011-05-21,5,24.639714285714287,16.8748163606122,16.28716542686242,17.05402693398502
229,14,"['2011', 'w22']",2011,201122,2011-05-28,5,24.90842857142857,89.09209809315333,92.10921845182705,87.66363057127786
230,22,"['2011', 'w23']",2011,201123,2011-06-04,6,23.07542857142857,58.36605026175232,57.3851188134456,58.74346040738832
231,18,"['2011', 'w24']",2011,201124,2011-06-11,6,22.875142857142855,28.61972093167971,29.88541847599877,28.01134674729557
232,18,"['2011', 'w25']",2011,201125,2011-06-18,6,24.814642857142854,25.60604588287357,25.05074950658181,25.99856405438634
233,21,"['2011', 'w26']",2011,201126,2011-06-25,6,20.801357142857142,75.229375685534,74.48731036531751,75.77120834490574
234,26,"['2011', 'w27']",2011,201127,2011-07-02,7,22.518,43.02839644348327,42.60184363167067,43.3339571484732
235,19,"['2011', 'w28']",2011,201128,2011-07-09,7,23.13042857142857,12.5245886915331,14.16161362652618,11.74198074778286
236,11,"['2011', 'w29']",2011,201129,2011-07-16,7,25.131000000000004,64.04273483870683,63.44695459540916,64.36463506692046
237,9,"['2011', 'w30']",2011,201130,2011-07-23,7,23.18042857142857,28.85196832539685,29.32252559068698,28.66187122346611
238,16,"['2011', 'w31']",2011,201131,2011-07-30,7,21.917,51.14394177045538,51.10560198878321,51.16415368105293
239,12,"['2011', 'w32']",2011,201132,2011-08-06,8,22.487428571428577,33.9258490737977,32.57485818563452,34.63810908318659
240,12,"['2011', 'w33']",2011,201133,2011-08-13,8,24.43692857142857,15.43075181213422,15.45819763952983,15.54008812051301
241,15,"['2011', 'w34']",2011,201134,2011-08-20,8,22.410499999999995,55.33444232682374,54.54117470225275,55.83336417822662
242,20,"['2011', 'w35']",2011,201135,2011-08-27,8,22.62842857142857,39.65032441594973,40.81626379685702,39.13883999728282
243,9,"['2011', 'w36']",2011,201136,2011-09-03,9,25.08871428571429,22.85173603950689,20.01758646435208,24.15989463132456
244,10,"['2011', 'w37']",2011,201137,2011-09-10,9,27.079285714285717,49.81931177709801,48.87898729711338,50.10425196853252
245,14,"['2011', 'w38']",2011,201138,2011-09-17,9,25.524428571428576,56.5345512929779,55.32259981804999,56.88420251979741
246,14,"['2011', 'w39']",2011,201139,2011-09-24,9,23.37,69.2864641197407,74.46900206349322,66.75379166406229
247,7,"['2011', 'w40']",2011,201140,2011-10-01,10,27.179928571428572,25.27425904245371,28.33535205154603,23.67954260045235
248,14,"['2011', 'w41']",2011,201141,2011-10-08,10,27.77692857142857,75.64054058491243,77.71931119310683,74.7436512721788
249,12,"['2011', 'w42']",2011,201142,2011-10-15,10,22.480642857142858,82.14650348915154,86.54675985926016,80.04712577675463
250,9,"['2011', 'w43']",2011,201143,2011-10-22,10,21.015714285714285,51.28543294620756,51.90308942288017,50.98874885106305
251,12,"['2011', 'w44']",2011,201144,2011-10-29,10,26.12257142857143,49.62672873320491,48.15235644308265,50.36191426001557
252,6,"['2011', 'w45']",2011,201145,2011-11-05,11,27.020571428571426,49.32683447140798,50.9721900470015,48.47217923173118
253,7,"['2011', 'w46']",2011,201146,2011-11-12,11,27.97942857142857,45.10474672290395,45.16476064212081,45.28790616311064
